"campaign_id";"sending_date";"subject";"sent";"non_delivered";"hard_bounces";"soft_bounces";"delivered";"opens";"clicked";"unsubscribed";"complaints"
"5";"2024-12-04";"Resumen Webinar enGira!";"103";"0";"0";"0";"103";"87";"19";"0";"0"
"6";"2024-10-23";"Participación Piloto enGira!";"3";"0";"0";"0";"3";"3";"1";"0";"0"
"8";"2024-10-29";"Artistas seleccionados";"38";"2";"0";"2";"36";"44";"32";"0";"0"
"10";"2024-10-28";"Participación Piloto enGira​!";"122";"5";"2";"3";"117";"134";"70";"0";"1"
"12";"2024-10-29";"Participación Piloto enGira!";"24";"1";"0";"1";"23";"27";"12";"0";"0"
"15";"2024-11-05";"Programa Piloto enGira!";"89";"11";"5";"6";"78";"10";"1";"0";"0"
"18";"2024-11-05";"Programa Piloto enGira!";"163";"18";"6";"12";"145";"30";"10";"0";"0"
"19";"2024-11-06";"Programa Piloto enGira!";"98";"28";"10";"18";"70";"12";"0";"0";"0"
"20";"2024-11-06";"Programa Piloto enGira!";"189";"33";"6";"27";"156";"50";"8";"3";"0"
"22";"2024-11-08";"Jornadas enGira!";"13";"0";"0";"0";"13";"16";"0";"0";"0"
"28";"2024-11-20";"No te pierdas estas Convocatorias!";"94";"1";"0";"1";"93";"95";"39";"0";"0"
"36";"2024-11-26";"Webinar enGira! 3 de diciembre";"96";"1";"0";"1";"95";"94";"25";"0";"0"
"39";"2024-11-26";"Jornadas de Internacionalización y Movilidad de Artistas!";"55";"0";"0";"0";"55";"37";"2";"1";"0"
"42";"2024-11-25";"Artista destacado";"14";"0";"0";"0";"14";"17";"1";"0";"0"
"44";"2024-11-26";"Jornadas de Internacionalización y Movilidad de artistas";"32";"0";"0";"0";"32";"17";"1";"0";"0"
"48";"2024-11-27";"Invitación Piloto enGira!";"204";"26";"22";"4";"178";"41";"2";"1";"0"
"49";"2024-12-02";"Recordatorio Webinar enGira!";"97";"0";"0";"0";"97";"92";"8";"0";"0"
"51";"2024-12-11";"Nuevas Convocatorias!";"98";"1";"0";"1";"97";"100";"42";"0";"0"
"55";"2024-12-16";"Fin del Programa Piloto enGira!​";"104";"0";"0";"0";"104";"99";"20";"0";"0"
"56";"2024-12-16";"Fin del Programa Piloto enGira!​";"17";"1";"0";"1";"16";"11";"2";"0";"0"
"57";"2025-01-08";"Convocatorias abiertas";"154";"1";"0";"1";"153";"167";"74";"1";"0"
"59";"2025-01-09";"Descubre artistas y conecta con ellos";"96";"6";"3";"3";"90";"23";"4";"1";"0"
"60";"2025-01-13";"Descubre nuevos artistas escénicos de creación contemporánea";"182";"4";"0";"4";"178";"42";"5";"0";"0"
"65";"2025-01-13";"Descubre nuevos artistas escénicos";"118";"14";"13";"1";"104";"42";"8";"0";"0"
"66";"2025-01-14";"Descubre nuevos artistas escénicos";"203";"14";"6";"8";"189";"51";"8";"0";"0"
"67";"2025-01-16";"Descobreix nous artistes escènics de creació contemporània";"182";"3";"0";"3";"179";"61";"16";"1";"0"
"69";"2025-02-10";"Nuevas convocatorias y una ""demo""";"153";"1";"0";"1";"152";"162";"62";"0";"0"
"70";"2025-02-17";"Demo enGira!";"90";"4";"0";"4";"86";"13";"0";"0";"0"
"71";"2025-02-24";"Demo enGira!";"300";"7";"0";"7";"293";"53";"4";"0";"0"
"73";"2025-03-11";"Demo enGira!";"252";"9";"1";"8";"243";"67";"0";"2";"0"
"75";"2025-03-10";"Nuevas convocatorias";"120";"1";"0";"1";"119";"127";"48";"0";"0"
"76";"2025-03-12";"Demo enGira!";"70";"12";"0";"5";"58";"8";"0";"0";"0"
"78";"2025-03-12";"Presentes en dFeria";"229";"5";"3";"2";"224";"153";"7";"2";"0"
"79";"2025-03-13";"Presentes en dFeria";"223";"9";"2";"7";"214";"94";"8";"1";"0"
"80";"2025-04-07";"Nuevas convocatorias";"122";"2";"0";"2";"120";"126";"48";"0";"0"
"81";"2025-05-05";"Nuevas convocatorias";"180";"3";"1";"2";"177";"188";"60";"0";"0"
"83";"2025-05-16";"Te ayudamos a completar el registro?";"17";"0";"0";"0";"17";"15";"2";"0";"0"
"84";"2025-06-04";"Échale un vistazo a estas convocatorias";"191";"2";"0";"2";"189";"160";"50";"1";"0"
"87";"2025-06-12";"Presentamos enGira! en Madferia";"384";"15";"15";"0";"369";"283";"6";"0";"0"
"88";"2025-06-12";"Presentamos enGira! en Madferia";"208";"4";"3";"1";"204";"189";"1";"0";"0"
"89";"2025-07-03";"¡Gracias por acompañarnos en la presentación de enGira!";"369";"1";"0";"1";"368";"279";"35";"2";"0"
"90";"2025-07-03";"Nuevas convocatorias";"196";"1";"0";"1";"195";"191";"64";"0";"0"
"91";"2025-09-04";"Nuevas convocatorias";"198";"1";"0";"1";"197";"168";"51";"1";"0"
"92";"2025-10-01";"Nuevas convocatorias";"198";"2";"0";"2";"196";"189";"53";"0";"0"
"93";"2025-10-06";"enGira! | MERCARTES 2025";"44";"0";"0";"0";"44";"36";"8";"0";"0"
"94";"2025-10-07";"enGira! | Terminar registro";"15";"2";"2";"0";"13";"12";"3";"0";"0"
"95";"2025-10-18";"enGira! | ¡Nos vemos en MERCARTES 2025!";"1545";"79";"65";"14";"1466";"868";"26";"34";"0"
"96";"2025-10-20";"enGira! - Stand 241 de MERCARTES";"591";"39";"16";"23";"552";"168";"4";"4";"0"
"97";"2025-11-04";"Nuevas Convocatorias y Programas de Acompañamiento";"248";"4";"1";"3";"244";"231";"55";"0";"0"
"98";"2025-11-22";"Invitación al Webinar enGira!";"1449";"24";"4";"20";"1425";"852";"8";"30";"0"
"99";"2025-11-27";"Grabación Webinar y Plan de Acompañamiento";"299";"4";"1";"3";"295";"222";"1";"1";"0"
"100";"2025-12-09";"Últimas convocatorias del año";"275";"2";"0";"2";"273";"223";"70";"0";"0"
"101";"2026-01-08";"Nuevo año, nuevas convocatorias";"278";"3";"1";"2";"275";"186";"64";"1";"0"
"102";"2026-02-04";"Nuevas convocatorias";"280";"4";"0";"4";"276";"209";"94";"0";"0"
