"dimension";"category";"total_followers"
"ciudad";"London";"2"
"ciudad";"Cáceres";"2"
"ciudad";"Argentona";"2"
"ciudad";"San Cristóbal de La Laguna";"2"
"ciudad";"Barcelona";"64"
"ciudad";"Tárrega";"2"
"ciudad";"Rio de Janeiro";"3"
"ciudad";"Chiclana de la Frontera";"2"
"ciudad";"Alcalá de Henares";"4"
"ciudad";"Palma de Mallorca";"2"
"ciudad";"Vigo";"4"
"ciudad";"El Prat de Llobregat";"3"
"ciudad";"Las Palmas de Gran Canaria";"3"
"ciudad";"Jaén";"3"
"ciudad";"El Escorial";"2"
"ciudad";"Granada";"11"
"ciudad";"Leganés";"2"
"ciudad";"Paris";"2"
"ciudad";"Buenos Aires";"5"
"ciudad";"Córdoba";"3"
"ciudad";"Cadiz";"3"
"ciudad";"Ulldecona";"2"
"ciudad";"Valladolid";"6"
"ciudad";"Seville";"19"
"ciudad";"Madrid";"255"
"ciudad";"A Coruña";"2"
"ciudad";"Valencia";"35"
"ciudad";"San Luis";"2"
"ciudad";"Lima";"2"
"ciudad";"Bilbao";"9"
"ciudad";"Pinto";"2"
"ciudad";"Alicante";"3"
"ciudad";"Santander";"5"
"ciudad";"Salou";"2"
"ciudad";"Olot";"2"
"ciudad";"Lleida";"3"
"ciudad";"Málaga";"3"
"ciudad";"Vitoria-Gasteiz";"5"
"ciudad";"Donostia-San Sebastián";"2"
"ciudad";"Granollers";"3"
"ciudad";"Santiago";"2"
"ciudad";"Las Rozas de Madrid";"2"
"ciudad";"Cullera";"2"
"ciudad";"Murcia";"10"
"ciudad";"Cercedilla";"2"
"país";"DE";"2"
"país";"BE";"1"
"país";"UY";"1"
"país";"PT";"2"
"país";"IN";"1"
"país";"CH";"1"
"país";"CL";"8"
"país";"MX";"1"
"país";"DO";"1"
"país";"IT";"4"
"país";"CO";"4"
"país";"FR";"5"
"país";"ES";"637"
"país";"BR";"5"
"país";"AR";"14"
"país";"CU";"2"
"país";"PE";"2"
"país";"LB";"1"
"país";"CZ";"1"
"país";"SK";"1"
"país";"GB";"2"
"país";"CA";"1"
"region";"Andalusia";"44"
"region";"Balearic Islands";"4"
"region";"Cantabria";"5"
"region";"Castilla y Leon";"6"
"region";"Cataluña";"83"
"region";"Ciudad Autónoma de Buenos Aires";"5"
"region";"Comunidad Valenciana";"40"
"region";"Comunidad de Madrid";"269"
"region";"England";"2"
"region";"Extremadura";"2"
"region";"Galicia";"6"
"region";"Islas Canarias";"5"
"region";"Lima Region";"2"
"region";"País Vasco";"16"
"region";"Region of Murcia";"10"
"region";"Rio de Janeiro (state)";"3"
"region";"Santiago Metropolitan Region";"2"
"region";"Île-de-France";"2"
